user,instance_id,displayed_text,"frame:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)","frame:::Industry-specific (e.g., discusses agricultural prices, manufacturing output, and retail sales)",frame:::Not Relevant to the U.S. Economy,"frame:::Government revenue and expenses (e.g., discusses taxes, budgets, and treasury issuances)",frame:::Other,"frame:::Personal (e.g., discusses household expenditures and personal debts)","frame:::Firm-specific (e.g., discusses stock prices, debt offerings, and capital investments)","macro_indicator:::Job Numbers (e.g., jobs, unemployment)",macro_indicator:::Not general type 'Macroeconomic / General Economic Conditions',macro_indicator:::Retail Sales,"macro_indicator:::Interest Rates (e.g., Fed, Mortgage)",macro_indicator:::Not Relevant to the U.S. Economy,"macro_indicator:::Macroeconomy (e.g., GDP)",macro_indicator:::Other,macro_indicator:::Currency Values,"macro_indicator:::Wages (e.g., minimum wage, average wage)","macro_indicator:::Prices (e.g., CPI, PPI)","macro_indicator:::Market Numbers (e.g., any financial market)","macro_indicator:::Energy Prices (eg., oil, gas)",spin:::Not general type 'Macroeconomic / General Economic Conditions',"spin:::Positive (e.g., inflation dropped)",spin:::Not Relevant to the U.S. Economy,"spin:::Neutral (e.g., GDP was worth X US dollars)",spin:::Unknown,"spin:::Negative (e.g., prices skyrocketed)","Question 1: The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant to the U.S. Economy' if it is a date or otherwise not relevant to the U.S. economy:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)","Question 1: The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant to the U.S. Economy' if it is a date or otherwise not relevant to the U.S. economy:::Firm-specific (e.g., discusses stock prices, debt offerings, and capital investments)","Question 2: If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Housing (e.g., Start, Sales, Pricing)","Question 2: If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Not general type 'Macroeconomic / General Economic Conditions'","Question 3: If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Not general type 'Macroeconomic / General Economic Conditions'","Question 3: If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Negative (e.g., prices skyrocketed)","The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant' is a date or otherwise not relevant to the U.S. economy:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)","Good work! You answered the sample questions correctly. Please confirm that you have read all instructions, because you'll now do 2 examples on your own.:::I have read all provided instructions",You have answered all practice questions correctly! You may access the instructions at any time during the study using the links at the top left the screen.:::I have identified the links to the instruction set and codebook,Please note that we reserve the right to reject your annotations if the provided instructions are not followed.:::I understand that my answers will be rejected if I do not follow the instructions," If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Negative (e.g., prices skyrocketed)","If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Market Numbers (e.g., any financial market)"
661c2e0c445d09870decb949,Economic-Article-Quant-Annotation-example2.html,example2,,,,,,,,,,,,,,,,,,,,,,,,,,"Question 1: The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant to the U.S. Economy' if it is a date or otherwise not relevant to the U.S. economy:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)",,"Question 2: If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Housing (e.g., Start, Sales, Pricing)",,,"Question 3: If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Negative (e.g., prices skyrocketed)",,,,,,
661c2e0c445d09870decb949,11692_3,"Lazard, for example, has moved into more internationally diverse U.K. businesses, such as food and tobacco companies, which the firm believes should be comparatively insulated. London’s FTSE AIM 100 index, composed of small-cap companies, has <span>fallen 5.2% this</span> year, while the large-cap FTSE 100 index is down 1.1%. A British exit also could boost euroskeptic parties across Europe, possibly encouraging other nations, such as the Netherlands, to leave the EU, according to strategists.",,,,,,,1,,12,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
661c2e0c445d09870decb949,76378_26,"""Contracts on the S&P 500, Nasdaq 100 and Dow Jones Industrial Average all jumped more than 5% to hit their upper trading curbs… The Stoxx Europe 600 Index also surged, led by insurers and energy companies, even as data began to show the extent of economic damage to the region from the coronavirus pandemic. Benchmarks in Tokyo, Hong Kong and Sydney all climbed at least 3% while Korean shares soared almost 9% as the government announced measures to stabilize financial markets.” — Brent crude edged higher: “Oil prices inched higher … while U.S. gasoline prices plunged more <span>than 30 percent</span> to a record low as global restrictions on travel to slow the spread of coronavirus destroyed demand for fuel,” Reuters's Devika Krishna Kumar reports. — The Fed deploys even more weapons.",0,,,,,,,,,,,,,,,,,,10,,,,,3,,,,,,,,,,,,,
661c2e0c445d09870decb949,64400_4,"Income inequality was not much of an issue in the early to mid-1970s, when the top 1 percent of households earned less than 10 percent of total income in the United States. But the income gap between the 1 percent and the rest is now at the highest level <span>in 50 years</span>, driven by everything from the decline of union representation among workers — unions not only bargain for better pay, but also for workplace protections — to the offshoring of jobs to increasing CEO pay. The necessities of life didn’t come down in price to make up for the difference.",,,6,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,
661c2e0c445d09870decb949,49071_19,"The reason is that slumping productivity and investment, risk aversion and an aging population have sapped borrowing demand. Research by John Williams, president of the Federal Reserve Bank of San Francisco, and Fed economist Thomas Laubach suggests the equilibrium rate could be as low <span>as 2%,</span> or zero when adjusted for inflation. This means the Fed may have only two percentage points of interest-rate cuts available to fight the next recession (compared with 5.25 points in 2007).",0,,,,,,,,,,8,,,,,,,,,,,,,,1,,,,,,,,,,,,
661c2e0c445d09870decb949,22778_20,"Equinor, which recently changed its name from Statoil to emphasize its partial pivot to renewable energy, nevertheless defends the new field on its company website, asserting, “The Paris Agreement is quite clear that there will still be a need for oil.” Norway’s rebound from 19 years of decline began a few weeks ago as Equinor began production in its Johan Sverdrup deepwater field. The field will eventually produce 440,000 barrels a day, increasing the country’s output from 1.3 million barrels a day <span>to 1.6 million</span> next year and 1.8 million in 2021. In Brazil, after years of scandal and delays, new offshore production platforms are coming online.",0,,,,,,,,,,,,,,,,,,10,,0,,,,,,,,,,,,,,,,
661c2e0c445d09870decb949,11692_6,The possibility of Brexit has been even more pronounced in currency markets. Investor selling has pushed the <span>pound 2.5% lower</span> against the U.S. dollar and nearly 7% lower against the euro since the start of the year. Many investors have turned to options markets to guard against a potential sharp fall in the pound following the vote.,0,,,,,,,,,,,,,,9,,,,,,,,,,1,,,,,,,,,,,,
661c2e0c445d09870decb949,785_10,"So-called core prices—which exclude volatile energy and food prices—rose 6.6% in September from a year earlier, the biggest increase since August 1982. They <span>increased 0.6% last</span> month from the prior month, a sign that strong and broad price pressures remain persistent. Core goods prices, which exclude food and energy, were unchanged in September from August.",0,,,,,,,,,,,,,,,,5,,,,,,,,1,,,,,,,,,,,,
661c2e0c445d09870decb949,86041_31,"At its peak value, Longfin was included for eight trading days in the Russell 2000 small-company stock index, which would draw in some of the $122 billion in funds that follow the index. Short-sellers said Russell made a mistake because <span>just 1.5% of</span> Longfin’s shares traded, below the 5% minimum. Russell said it made the decision based on Longfin’s IPO disclosures, which said more shares would trade.",,,6,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,
661c2e0c445d09870decb949,Economic-Article-Quant-Annotation-instructions2_example.html,instructions2_example,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Market Numbers (e.g., any financial market)"
661c2e0c445d09870decb949,19694_12,"Stock prices for some 3-D printing companies more than doubled in 2013, while world-wide revenue increased a smaller 27% to an estimated $2.8 billion last year, according to consultancy Wohlers Associates Inc. in Colorado. 3-D stocks though are off to a rough start this year with industry leaders 3D Systems Corp. DDD 1.66%increase; green up pointing triangle down 40% and Stratasys Ltd. SSYS -1.48%decrease; red down pointing triangle off <span>about 19% since</span> the start of 2014. Still, some 3-D stocks remain priced at 50 to 70 times projected 2014 earnings, attracting comparisons to the overheated market for Internet stocks during the early 2000s.",,,,,,,1,,12,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
661c2e0c445d09870decb949,46188_6,"While growth faltered in the eurozone beginning in the first quarter of 2018, it has remained solid in the U.S.  Inflation  A central bank’s main job is to maintain slow and steady inflation to keep the economy humming along. The Fed targets <span>a 2% rate</span> while the ECB seeks a level close to but just under 2%. Inflation has been weak in both economies lately but it has come closer to the Fed’s goal.",0,,,,,,,,,,8,,,,,,,,,,,,2,,,,,,,,,,,,,,
661c2e0c445d09870decb949,19694_14,"3-D stocks though are off to a rough start this year with industry leaders 3D Systems Corp. DDD 1.66%increase; green up pointing triangle down 40% and Stratasys Ltd. SSYS -1.48%decrease; red down pointing triangle off about 19% since the start of 2014. Still, some 3-D stocks remain priced <span>at 50 to</span> 70 times projected 2014 earnings, attracting comparisons to the overheated market for Internet stocks during the early 2000s. ExOne shares are up 42% since going public in February 2013, but off 53% from its August high.",,,,,,,1,,12,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
661c2e0c445d09870decb949,76369_4,"“We are starting to see the bifurcation of winners and losers” in retail, he said. Shares of Target <span>rose 9.2% in</span> premarket trading Wednesday. Retailers reporting quarterly sales thus far provide conflicting views on the health of the American consumer heading into the pivotal holiday season.",0,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,
6109b252880d6d711a5645b4,Economic-Article-Quant-Annotation-instructions_confirm.html,instructions_confirm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Good work! You answered the sample questions correctly. Please confirm that you have read all instructions, because you'll now do 2 examples on your own.:::I have read all provided instructions",,,,
6109b252880d6d711a5645b4,Economic-Article-Quant-Annotation-instructions2_example.html,instructions2_example,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Market Numbers (e.g., any financial market)"
6109b252880d6d711a5645b4,Economic-Article-Quant-Annotation-instructions3_example.html,instructions3_example,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Negative (e.g., prices skyrocketed)",
6109b252880d6d711a5645b4,Economic-Article-Quant-Annotation-instructions1_example.html,instructions1_example,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant' is a date or otherwise not relevant to the U.S. economy:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)",,,,,
5eb468848e9d2a2c081ff09b,86041_32,"At its peak value, Longfin was included for eight trading days in the Russell 2000 small-company stock index, which would draw in some of the $122 billion in funds that follow the index. Short-sellers said Russell made a mistake because just 1.5% of Longfin’s shares traded, below <span>the 5% minimum</span>. Russell said it made the decision based on Longfin’s IPO disclosures, which said more shares would trade.",,,,,,4,,,12,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
5eb468848e9d2a2c081ff09b,63507_4,"China has responded with its own tit-for-tat tariffs on American goods. But over a steak dinner during the Group <span>of 20 summit</span> meeting in Argentina, Mr. Xi and Mr. Trump agreed to a 90-day truce and to work toward an agreement that Mr. Trump said could lead to “one of the largest deals ever made.” “It’s not some subtle shift; Trump has flipped since September,” said Derek Scissors, who studies China’s economy for the American Enterprise Institute. “He went from saying how he was going to slap tariffs on everything to all this talk about making the greatest deal ever.” Mr. Lighthizer — whose top deputy will meet with Chinese officials this week ahead of more high-level talks in February — has played down any differences with Mr. Trump and views his role as ultimately executing the directive of his boss.",,,,,5,,,,12,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
5eb468848e9d2a2c081ff09b,Economic-Article-Quant-Annotation-example1.html,example1,,,,,,,,,,,,,,,,,,,,,,,,,,,"Question 1: The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant to the U.S. Economy' if it is a date or otherwise not relevant to the U.S. economy:::Firm-specific (e.g., discusses stock prices, debt offerings, and capital investments)",,"Question 2: If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Not general type 'Macroeconomic / General Economic Conditions'","Question 3: If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Not general type 'Macroeconomic / General Economic Conditions'",,,,,,,
5eb468848e9d2a2c081ff09b,Economic-Article-Quant-Annotation-example2.html,example2,,,,,,,,,,,,,,,,,,,,,,,,,,"Question 1: The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant to the U.S. Economy' if it is a date or otherwise not relevant to the U.S. economy:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)",,"Question 2: If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Housing (e.g., Start, Sales, Pricing)",,,"Question 3: If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Negative (e.g., prices skyrocketed)",,,,,,
5eb468848e9d2a2c081ff09b,76369_8,"Consumer spending has been relatively robust this year, helped by the strong U.S. economy, rising wages and low unemployment. The National Retail Federation said it expects holiday sales to rise in the range of 3.8% to 4.2%—to <span>about $730 billion</span>. Target on Wednesday raised its adjusted earnings per share targets for the year to $6.25 to $6.45, compared with the prior range of $5.90 to $6.20.",,2,,,,,,,,7,,,,,,,,,,,0,,,,,,,,,,,,,,,,
5eb468848e9d2a2c081ff09b,Economic-Article-Quant-Annotation-instructions1_example.html,instructions1_example,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant' is a date or otherwise not relevant to the U.S. economy:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)",,,,,
5eb468848e9d2a2c081ff09b,Economic-Article-Quant-Annotation-confirm.html,confirm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,You have answered all practice questions correctly! You may access the instructions at any time during the study using the links at the top left the screen.:::I have identified the links to the instruction set and codebook,Please note that we reserve the right to reject your annotations if the provided instructions are not followed.:::I understand that my answers will be rejected if I do not follow the instructions,,
5eb468848e9d2a2c081ff09b,86041_31,"At its peak value, Longfin was included for eight trading days in the Russell 2000 small-company stock index, which would draw in some of the $122 billion in funds that follow the index. Short-sellers said Russell made a mistake because <span>just 1.5% of</span> Longfin’s shares traded, below the 5% minimum. Russell said it made the decision based on Longfin’s IPO disclosures, which said more shares would trade.",,,,,,,1,,12,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
5eb468848e9d2a2c081ff09b,Economic-Article-Quant-Annotation-instructions_confirm.html,instructions_confirm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Good work! You answered the sample questions correctly. Please confirm that you have read all instructions, because you'll now do 2 examples on your own.:::I have read all provided instructions",,,,
5eb468848e9d2a2c081ff09b,Economic-Article-Quant-Annotation-instructions2_example.html,instructions2_example,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Market Numbers (e.g., any financial market)"
5eb468848e9d2a2c081ff09b,11692_6,The possibility of Brexit has been even more pronounced in currency markets. Investor selling has pushed the <span>pound 2.5% lower</span> against the U.S. dollar and nearly 7% lower against the euro since the start of the year. Many investors have turned to options markets to guard against a potential sharp fall in the pound following the vote.,,,6,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,
5eb468848e9d2a2c081ff09b,19694_14,"3-D stocks though are off to a rough start this year with industry leaders 3D Systems Corp. DDD 1.66%increase; green up pointing triangle down 40% and Stratasys Ltd. SSYS -1.48%decrease; red down pointing triangle off about 19% since the start of 2014. Still, some 3-D stocks remain priced <span>at 50 to</span> 70 times projected 2014 earnings, attracting comparisons to the overheated market for Internet stocks during the early 2000s. ExOne shares are up 42% since going public in February 2013, but off 53% from its August high.",,2,,,,,,,12,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
5eb468848e9d2a2c081ff09b,Economic-Article-Quant-Annotation-instructions3_example.html,instructions3_example,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Negative (e.g., prices skyrocketed)",
5eb468848e9d2a2c081ff09b,76369_4,"“We are starting to see the bifurcation of winners and losers” in retail, he said. Shares of Target <span>rose 9.2% in</span> premarket trading Wednesday. Retailers reporting quarterly sales thus far provide conflicting views on the health of the American consumer heading into the pivotal holiday season.",,,,,,,1,,12,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
5eb468848e9d2a2c081ff09b,32527_30,"Local mayors complained that their sacrifices had been wasted. Three days later, on March 11, when the positive cases <span>reached 12,462 and</span> the death toll climbed to 827, Mr. Conte toughened the restrictions and extended them nationally. But by then, some experts say, it was already too late.",,,6,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,
600be42e32909325b20ab5f0,20435_0,"this season. Without a running diary, it would be easy to forget that the Oklahoma City Thunder did not win their first game <span>for 12 days</span>, or that Blake Griffin scored 50 points against Philadelphia, or that Luke Walton’s run with the Los Angeles Lakers as coach once seemed to be in its final days. Only a fraction of the way through this season, a crew of New York Times sportswriters and friends are ready to reflect.",,,6,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,
600be42e32909325b20ab5f0,49071_4,"That rule went out the window in 2011 when Republicans in Congress and President Barack Obama enacted multiyear spending limits when they couldn’t agree on long-term changes to spending and taxes. These were a major contributor to the “fiscal drag” that Goldman Sachs analyst Alec Phillips estimates sliced an average <span>of 1.2 percentage</span> points off growth annually from 2011 to 2013. The hit to the economy was all the harder because the Federal Reserve couldn’t compensate by cutting interest rates, since they already were near zero.",0,,,,,,,,12,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
600be42e32909325b20ab5f0,72580_19,"“Some of the early polls have come in, and the market is revisiting its rock-solid assumption just a few hours ago that the U.K. would stay in,” he said. By 3 a.m. in London, five hours after the polls had closed, Betfair put the odds of Britain’s remaining <span>at 56%.</span> A victory for Leave in Swansea, in South Wales, helped drive the pound still lower—down below $1.41, off more than 5% from just before the polls closed.",,,6,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,
600be42e32909325b20ab5f0,11692_15,"To be sure, investors say the vote also is providing moneymaking opportunities. Betting against the pound was a profitable trade for many in <span>early 2016.</span> The weaker currency has also been a boon for U.K. companies that sell the bulk of their goods abroad, as it makes their products more competitive there.",,,6,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,
600be42e32909325b20ab5f0,76369_8,"Consumer spending has been relatively robust this year, helped by the strong U.S. economy, rising wages and low unemployment. The National Retail Federation said it expects holiday sales to rise in the range of 3.8% to 4.2%—to <span>about $730 billion</span>. Target on Wednesday raised its adjusted earnings per share targets for the year to $6.25 to $6.45, compared with the prior range of $5.90 to $6.20.",,2,,,,,,,,7,,,,,,,,,,,0,,,,,,,,,,,,,,,,
600be42e32909325b20ab5f0,31569_6,Water resources within China are limited. The country has 20% of the world’s population and <span>just 7% of</span> the world’s fresh water. Around one-quarter of that is polluted—in part because of industrial production and intensive farming practices—according to a January report from China National Environmental Monitoring Center.,,,6,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,
600be42e32909325b20ab5f0,20435_7,"And then there’s Gordon Hayward, who clearly still needs time. I expected his explosiveness to the rim to need the time, not his 3-point shooting, which is mired <span>at 28 percent</span>. The lesson: Don’t trust all those off-season workout videos you see of players swishing shots.",,,6,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,
600be42e32909325b20ab5f0,47035_46,"It took a week to find Ms. Beach’s body, which was facedown in the marsh 5 miles north of the bridge. Paul’s blood drawn as part of his care at the hospital showed that his blood-alcohol level <span>was .286,</span> according to hospital records, three times the legal limit in South Carolina. Paul was criminally charged in April 2019, including boating under the influence causing death, but the charges were dropped after his death last June, leaving the wrongful-death suit the key legal proceeding.",,,6,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,
600be42e32909325b20ab5f0,19694_10,"Stock prices for some 3-D printing companies more than doubled in 2013, while world-wide revenue increased a smaller 27% to an estimated $2.8 billion last year, according to consultancy Wohlers Associates Inc. in Colorado. 3-D stocks though are off to a rough start this year with industry leaders 3D Systems Corp. <span>DDD 1.66</span>%increase; green up pointing triangle down 40% and Stratasys Ltd. SSYS -1.48%decrease; red down pointing triangle off about 19% since the start of 2014. Still, some 3-D stocks remain priced at 50 to 70 times projected 2014 earnings, attracting comparisons to the overheated market for Internet stocks during the early 2000s.",,2,,,,,,,,,,,,,,,5,,,,,,,,1,,,,,,,,,,,,
600be42e32909325b20ab5f0,47035_23,"It also spawned a pair of explosive and potentially groundbreaking lawsuits, with one tentatively set to go to trial this fall. * China Ratchets Up Pressure on Foreign CompaniesApril 27,<span> 2023,</span> * Amazon Rebounds From Postpandemic Doldrums, but Says Cloud Growth Is SlowingApril 27, 2023, * Stocks Rally, Led by NasdaqApril 27, 2023,  * China Ratchets Up Pressure on Foreign CompaniesApril 27, 2023, * Amazon Rebounds From Postpandemic Doldrums, but Says Cloud Growth Is SlowingApril 27, 2023, * Stocks Rally, Led by NasdaqApril 27, 2023, * Higher Rates Hit U.S. GrowthApril 27, 2023, * Denied a Gun License Over School Threat, Accused Leaker Jack Teixeira Later Got Top-Secret ClearanceApril 27, 2023, * Iran Seizes U.S.-Bound Oil TankerApril 27, 2023, * DeSantis’s Miscalculation: ‘Disney Is Playing the Long Game’April 27, 2023, * U.S. Sanctions Russian, Iranian Security Services Over Wrongful DetentionsApril 27, 2023, * Fire Sale: $300 Million San Francisco Office Tower, Mostly Empty. Open to Offers.",,,6,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,
600be42e32909325b20ab5f0,785_6,"Overall consumer prices climbed a seasonally adjusted 8.2% in September from the same month a year ago, pulled down by a decline in gasoline prices that was partially offset by higher food costs, the Labor Department said Thursday. The reading was down <span>from 8.3% in</span> August and 9.1% in June, which was the highest inflation rate in four decades. So-called core prices—which exclude volatile energy and food prices—rose 6.6% in September from a year earlier, the biggest increase since August 1982.",0,,,,,,,,,,,,,,,,5,,,,,,,,1,,,,,,,,,,,,
600be42e32909325b20ab5f0,61198_2,"“Given the number of people who have lost their jobs and the likelihood that some will struggle to find work in the postpandemic economy, achieving and sustaining maximum employment will require more than supportive monetary policy,” Jerome H. Powell, the chair of the Federal Reserve, said in speech to the Economic Club of New York on Wednesday. “It will require a societywide commitment.” Mr. Powell called policies that would bring the coronavirus pandemic to an end as soon as possible “paramount” and said both workers and businesses that had been disrupted by the crisis “are likely to need continued support.” Unemployment remains sharply elevated at 6.3 percent, up from 3.5 percent before the pandemic, and jumps to <span>about 10 percent</span> when adjusted for misclassified job statuses and recent dropouts from the work force. The pain has also been uneven.",0,,,,,,,0,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
600be42e32909325b20ab5f0,63507_4,"China has responded with its own tit-for-tat tariffs on American goods. But over a steak dinner during the Group <span>of 20 summit</span> meeting in Argentina, Mr. Xi and Mr. Trump agreed to a 90-day truce and to work toward an agreement that Mr. Trump said could lead to “one of the largest deals ever made.” “It’s not some subtle shift; Trump has flipped since September,” said Derek Scissors, who studies China’s economy for the American Enterprise Institute. “He went from saying how he was going to slap tariffs on everything to all this talk about making the greatest deal ever.” Mr. Lighthizer — whose top deputy will meet with Chinese officials this week ahead of more high-level talks in February — has played down any differences with Mr. Trump and views his role as ultimately executing the directive of his boss.",,,6,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,
600be42e32909325b20ab5f0,Economic-Article-Quant-Annotation-example1.html,example1,,,,,,,,,,,,,,,,,,,,,,,,,,,"Question 1: The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant to the U.S. Economy' if it is a date or otherwise not relevant to the U.S. economy:::Firm-specific (e.g., discusses stock prices, debt offerings, and capital investments)",,"Question 2: If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Not general type 'Macroeconomic / General Economic Conditions'","Question 3: If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Not general type 'Macroeconomic / General Economic Conditions'",,,,,,,
600be42e32909325b20ab5f0,46188_5,"Economic Growth  First, overall economic growth has been stronger in the U.S. than in Europe since mid-2017. While growth faltered in the eurozone beginning in the first quarter <span>of 2018,</span> it has remained solid in the U.S.  Inflation  A central bank’s main job is to maintain slow and steady inflation to keep the economy humming along. The Fed targets a 2% rate while the ECB seeks a level close to but just under 2%.",,,6,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,
600be42e32909325b20ab5f0,785_0,"Newsletter Sign-up What’s News Catch up on the headlines, understand the news and make better decisions, free in your inbox every day. Retail sales <span>grew 0.3% in</span> August from the month before, a reversal after July’s 0.4% drop, which largely reflected falling gasoline prices. Retail sales rose 9.1% from August 2021.",,2,,,,,,,,7,,,,,,,,,,,0,,,,,,,,,,,,,,,,
600be42e32909325b20ab5f0,Economic-Article-Quant-Annotation-instructions1_example.html,instructions1_example,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant' is a date or otherwise not relevant to the U.S. economy:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)",,,,,
600be42e32909325b20ab5f0,32527_25,"She said that the health minister, Mr. Speranza, and Mr. Conte deliberated about what to do and within the day, they decided to close down much of the north. In a <span>surprise 2 a</span>.m. news conference on March 8, when 7,375 people had already tested positive for coronavirus and 366 had died, Mr. Conte announced the extraordinary step of restricting movement for about a quarter of the Italian population in the northern regions that serve as the country’s economic engine. “We are facing an emergency,” Mr. Conte said at the time.",,,6,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,
600be42e32909325b20ab5f0,Economic-Article-Quant-Annotation-instructions_confirm.html,instructions_confirm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Good work! You answered the sample questions correctly. Please confirm that you have read all instructions, because you'll now do 2 examples on your own.:::I have read all provided instructions",,,,
