source year macro_type count total per
wsj 2020 currency 98 8761 0.01118593767834722
wsj 2020 housing 200 8761 0.02282844424152494
wsj 2020 interest 110 8761 0.012555644332838718
wsj 2020 jobs 2706 8761 0.3088688505878324
wsj 2020 macro 1546 8761 0.1764638739869878
wsj 2020 market 2232 8761 0.2547654377354183
wsj 2020 other 311 8761 0.03549823079557128
wsj 2020 prices+ 1180 8761 0.13468782102499716
wsj 2020 wages 378 8761 0.043145759616482135
wsj 2021 currency 14 411 0.0340632603406326
wsj 2021 housing 9 411 0.021897810218978103
wsj 2021 interest 14 411 0.0340632603406326
wsj 2021 jobs 36 411 0.08759124087591241
wsj 2021 macro 119 411 0.2895377128953771
wsj 2021 market 111 411 0.27007299270072993
wsj 2021 other 19 411 0.046228710462287104
wsj 2021 prices+ 80 411 0.19464720194647203
wsj 2021 wages 9 411 0.021897810218978103
wsj 2022 currency 663 19560 0.03389570552147239
wsj 2022 housing 1033 19560 0.052811860940695295
wsj 2022 interest 804 19560 0.041104294478527606
wsj 2022 jobs 2324 19560 0.11881390593047035
wsj 2022 macro 4018 19560 0.20541922290388548
wsj 2022 market 5890 19560 0.3011247443762781
wsj 2022 other 935 19560 0.04780163599182004
wsj 2022 prices+ 2831 19560 0.14473415132924336
wsj 2022 wages 1062 19560 0.05429447852760736
wsj 2023 currency 10 788 0.012690355329949238
wsj 2023 housing 21 788 0.0266497461928934
wsj 2023 interest 35 788 0.044416243654822336
wsj 2023 jobs 78 788 0.09898477157360407
wsj 2023 macro 237 788 0.30076142131979694
wsj 2023 market 269 788 0.3413705583756345
wsj 2023 other 27 788 0.03426395939086294
wsj 2023 prices+ 65 788 0.08248730964467005
wsj 2023 wages 46 788 0.0583756345177665
