user,instance_id,displayed_text,frame:::Not Relevant to the U.S. Economy,"frame:::Government revenue and expenses (e.g., discusses taxes, budgets, and treasury issuances)",frame:::Other,"frame:::Industry-specific (e.g., discusses agricultural prices, manufacturing output, and retail sales)","frame:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)","frame:::Personal (e.g., discusses household expenditures and personal debts)","frame:::Firm-specific (e.g., discusses stock prices, debt offerings, and capital investments)",macro_indicator:::Not general type 'Macroeconomic / General Economic Conditions',macro_indicator:::Not Relevant to the U.S. Economy,macro_indicator:::Other,"macro_indicator:::Energy Prices (eg., oil, gas)","macro_indicator:::Wages (e.g., minimum wage, average wage)","macro_indicator:::Job Numbers (e.g., jobs, unemployment)",macro_indicator:::Retail Sales,"macro_indicator:::Housing (e.g., Start, Sales, Pricing)","macro_indicator:::Prices (e.g., CPI, PPI)","macro_indicator:::Interest Rates (e.g., Fed, Mortgage)","macro_indicator:::Macroeconomy (e.g., GDP)","macro_indicator:::Market Numbers (e.g., any financial market)","spin:::Neutral (e.g., GDP was worth X US dollars)",spin:::Not general type 'Macroeconomic / General Economic Conditions',spin:::Not Relevant to the U.S. Economy,"spin:::Positive (e.g., inflation dropped)","spin:::Negative (e.g., prices skyrocketed)","Question 1: The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant to the U.S. Economy' if it is a date or otherwise not relevant to the U.S. economy:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)","Question 1: The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant to the U.S. Economy' if it is a date or otherwise not relevant to the U.S. economy:::Firm-specific (e.g., discusses stock prices, debt offerings, and capital investments)","Question 2: If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Not general type 'Macroeconomic / General Economic Conditions'","Question 2: If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Housing (e.g., Start, Sales, Pricing)","Question 3: If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Not general type 'Macroeconomic / General Economic Conditions","Question 3: If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Negative (e.g., prices skyrocketed)"," If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Negative (e.g., prices skyrocketed)","The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant' is a date or otherwise not relevant to the U.S. economy:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)","The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant' is a date or otherwise not relevant to the U.S. economy:::Government revenue and expenses (e.g., discusses taxes, budgets, and treasury issuances)",You have answered all practice questions correctly! You may access the instructions at any time during the study using the links at the top left the screen.:::I have identified the links to the instruction set and codebook,Please note that we reserve the right to reject your annotations if the provided instructions are not followed.:::I understand that my answers will be rejected if I do not follow the instructions,"Good work! You answered the sample questions correctly. Please confirm that you have read all instructions, because you'll now do 2 examples on your own.:::I have read all provided instructions","If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Market Numbers (e.g., any financial market)"
65f8d23136abafe80c61998a,Economic-Article-Quant-Annotation-example2.html,example2,,,,,,,,,,,,,,,,,,,,,,,,,"Question 1: The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant to the U.S. Economy' if it is a date or otherwise not relevant to the U.S. economy:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)",,,"Question 2: If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Housing (e.g., Start, Sales, Pricing)",,"Question 3: If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Negative (e.g., prices skyrocketed)",,,,,,,
65f8d23136abafe80c61998a,82117_0,"U.S. auto makers and Congressional Democrats are unhappy with the concession and want it renegotiated. But according to Froman, “Here we <span>have 12 countries</span>, half of whom we already have free trade agreements with, where every issue is tied to every other issue. You pull the string out on one of these issues and you unravel the whole thing.” Thus Froman admits that the TPP deal is shot through with favoritism and crony arrangements…but it can’t be altered.",,,5,,,,,12,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
65f8d23136abafe80c61998a,22128_9,"“The only time valuations came up is if a stock had a big run up that no one could explain, because no one wanted to put a stock in [the index] and then have it drop 25% the next week,” Mr. Blitzer said. Tesla stock is up sixfold this year and trading at more <span>than 100 times</span> forecast 2021 earnings. The profits rule is only the most glaring of many conflicts between an investor tool and a gauge of the market.",,,,,,,1,12,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
65f8d23136abafe80c61998a,31443_9,"“He’s brought hundreds of millions of dollars.” The room broke up in laughter: It was clear the vice president hadn’t come with a briefcase of cash to pay off Greece’s debts. But his joke captured a deeper truth — <span>in 2011,</span> many still viewed the United States as the ultimate guarantor of the international order. And Mr. Biden clearly saw himself as a steward of that legacy, his easy self-confidence the product of four decades as a globe-trotting senator.",6,,,,,,,,13,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
65f8d23136abafe80c61998a,55683_12,"If recent box-office returns are any indication, in most cases the answer will be no. Plenty of sequels have fizzled in recent months, such as “Snow White” follow-up “The Huntsman: Winter’s War,” the third “Divergent” and “Zoolander<span> 2.</span>” While audiences love well-known titles—witness “The Jungle Book” —the market is so saturated with them that they are more a necessary condition for success than a guarantee. (Animation remains the one genre in which originality regularly shines, as most recently evidenced by “Zootopia.”).",6,,,,,,,,13,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
65f8d23136abafe80c61998a,22128_14,"Write to James Mackintosh at James.Mackintosh@wsj.com Copyright ©2020 Dow Jones & Company, Inc. All Rights Reserved. 87990cbe856818d5eddac44c7b1cdeb8 Appeared in the November 23,<span> 2020,</span> print edition as 'Tesla Shows Why Indexes Are Weird.'",6,,,,,,,,13,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
65f8d23136abafe80c61998a,93723_9,"Meanwhile, the number of shared households—meaning an adult not enrolled in school living with another adult who isn't a spouse—rose 11.4% between 2007 and 2010, from 19.7 million households to 22 million, the Census reported last month. Yet the number of households grew <span>by 1.3% during</span> the period. That number has stagnated as families double up and college graduates accept lower-wage jobs, unable to rent a place of their own.",,,,,0,,,,,11,,,,,,,,,,2,,,,,,,,,,,,,,,,,
65f8d23136abafe80c61998a,91844_0,"WASHINGTON—Most Federal Reserve officials thought they should slow the pace of interest-rate increases after approving <span>a 0.75</span>-percentage-point rate rise at their meeting earlier this month to battle high inflation. Their discussion at the meeting, described in minutes of the gathering released Wednesday, suggests they could downshift to a rate rise of 0.5 percentage point, or 50 basis points, at their meeting next month.",,,,,0,,,,,,,,,,,,8,,,2,,,,,,,,,,,,,,,,,
65f8d23136abafe80c61998a,73533_0,"Interest-Rate Cuts, Asset Purchases Ricochet Through Foreign-Exchange Markets; ‘Unspoken Currency War Has Broken Out’  Updated Feb.<span> 8,</span> 2015 7:28 pm ET  The central-bank stimulus spree of 2015 has the look of a global currency war. In quick succession, countries representing about a third of the world’s economic output—from the eurozone to China, Australia and Canada—have taken steps that have driven down the value of their currencies.",6,,,,,,,,13,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
65f8d23136abafe80c61998a,73198_0,"Feb.<span> 14,</span> 2013 8:34 pm ET  A flurry of acquisitions announced within hours of each other Thursday, for everything from ketchup to airlines to drug wholesaling, suggests big-time deal-making is back after a nearly six-year absence from Wall Street. Mergers and acquisitions took a sharp tumble after the financial crisis, as economic uncertainty and paranoia on corporate boards kept deal-making on the sidelines.",6,,,,,,,,13,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
65f8d23136abafe80c61998a,88747_0,"The new round of discussions, the first since May, would be lower-level, exploratory talks  Updated Aug.<span> 16,</span> 2018 1:21 pm ET  The U.S. and China reached a modest breakthrough in their trade dispute, saying they would hold lower-level talks later this month on the spiraling dispute. Officials from both countries said on Thursday that a Chinese vice minister would travel to the U.S. at the invitation of the Treasury Department to discuss trade issues on Aug. 22 and 23.",6,,,,,,,,13,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
65f8d23136abafe80c61998a,14424_4,"But Senate Majority Leader Harry Reid (D., Nev.), in a statement issued hours before the House took up the bill, pledged to strip out the health provisions. He denounced the GOP vote as ""pointless"" and declared the impasse to be back at ""<span>Square 1.</span>"" The White House said that if the House bill reached President Barack Obama, who championed the health law, he would veto it.",6,,,,,,,,13,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
6662012396bb7dd754b9e39f,Economic-Article-Quant-Annotation-instructions1_example.html,instructions1_example,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant' is a date or otherwise not relevant to the U.S. economy:::Government revenue and expenses (e.g., discusses taxes, budgets, and treasury issuances)",,,,
66997410e45cdf90f80c77f2,Economic-Article-Quant-Annotation-example2.html,example2,,,,,,,,,,,,,,,,,,,,,,,,,"Question 1: The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant to the U.S. Economy' if it is a date or otherwise not relevant to the U.S. economy:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)",,,"Question 2: If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Housing (e.g., Start, Sales, Pricing)",,"Question 3: If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Negative (e.g., prices skyrocketed)",,,,,,,
66997410e45cdf90f80c77f2,20676_6,"The surge in unemployment-insurance claims started six weeks ago when shutdowns to contain the virus became widespread. Americans also cut back on spending by 7.5% in March, the biggest monthly decline on record back to 1959, and saw personal income fall by 2%, the largest decrease <span>since 2013.</span> Stock markets slipped on the data’s accounting of economic damage from the virus.",,,,,0,,,,,,,,,7,,,,,,,,,,1,,,,,,,,,,,,,
66997410e45cdf90f80c77f2,Economic-Article-Quant-Annotation-confirm.html,confirm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,You have answered all practice questions correctly! You may access the instructions at any time during the study using the links at the top left the screen.:::I have identified the links to the instruction set and codebook,Please note that we reserve the right to reject your annotations if the provided instructions are not followed.:::I understand that my answers will be rejected if I do not follow the instructions,,
66997410e45cdf90f80c77f2,Economic-Article-Quant-Annotation-example1.html,example1,,,,,,,,,,,,,,,,,,,,,,,,,,"Question 1: The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant to the U.S. Economy' if it is a date or otherwise not relevant to the U.S. economy:::Firm-specific (e.g., discusses stock prices, debt offerings, and capital investments)","Question 2: If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Not general type 'Macroeconomic / General Economic Conditions'",,"Question 3: If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Not general type 'Macroeconomic / General Economic Conditions",,,,,,,,
66997410e45cdf90f80c77f2,Economic-Article-Quant-Annotation-instructions3_example.html,instructions3_example,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Negative (e.g., prices skyrocketed)",,,,,,
66997410e45cdf90f80c77f2,Economic-Article-Quant-Annotation-instructions2_example.html,instructions2_example,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Market Numbers (e.g., any financial market)"
66997410e45cdf90f80c77f2,22128_14,"Write to James Mackintosh at James.Mackintosh@wsj.com Copyright ©2020 Dow Jones & Company, Inc. All Rights Reserved. 87990cbe856818d5eddac44c7b1cdeb8 Appeared in the November 23,<span> 2020,</span> print edition as 'Tesla Shows Why Indexes Are Weird.'",,,,2,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,
66997410e45cdf90f80c77f2,Economic-Article-Quant-Annotation-instructions1_example.html,instructions1_example,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant' is a date or otherwise not relevant to the U.S. economy:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)",,,,,
66997410e45cdf90f80c77f2,23424_33,Phillips 66 said earlier this year it may still be cheaper to take that oil and put it on a barge for delivery by sea to the coasts than to send it directly there by train. Write to Alison Sider at alison.sider@wsj.com and Laura Stevens at laura.stevens@wsj.com -<span> 117 </span>- - - - -,,3,,,,,,,,,,,,,,,8,,,2,,,,,,,,,,,,,,,,,
66997410e45cdf90f80c77f2,Economic-Article-Quant-Annotation-instructions_confirm.html,instructions_confirm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Good work! You answered the sample questions correctly. Please confirm that you have read all instructions, because you'll now do 2 examples on your own.:::I have read all provided instructions",
66926aa4a5fb84fd6decaec5,37368_0,HOUSTON — Oil prices rose <span>about 10 percent</span> on Monday as investors reacted to a weekend attack on one of Saudi Arabia’s most important oil facilities that could cripple petroleum exports for days or even weeks. But experts say that a severe shock to energy markets and the world economy would be unlikely.,,,,2,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,
66926aa4a5fb84fd6decaec5,46093_25,"- “Some in the caucus criticize the legislative slowdown, led by Freedom Caucus Chair Andy Biggs (R-Ariz.) and several others, as a failure to act strategically. Conservatives should challenge a select few bills rather than a wide swath, these Republicans argue, to avoid diluting the potency of moments when they choose to tie the House in procedural knots … But other Freedom Caucus members feel strongly that wreaking havoc on the floor is part of their brand and they need to deploy every procedural weapon at their disposal.” Today in history President Ronald Reagan survived an assassination attempt on this day <span>in 1981.</span> “In the 70th day of his presidency, Reagan underwent three hours of surgery at George Washington University Hospital to remove the bullet that entered under his left armpit, struck his seventh rib and burrowed three iches into his left lung,"" reported The Post's David S. Broder.",6,,,,,,,,13,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
66926aa4a5fb84fd6decaec5,Economic-Article-Quant-Annotation-example1.html,example1,,,,,,,,,,,,,,,,,,,,,,,,,,"Question 1: The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant to the U.S. Economy' if it is a date or otherwise not relevant to the U.S. economy:::Firm-specific (e.g., discusses stock prices, debt offerings, and capital investments)","Question 2: If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Not general type 'Macroeconomic / General Economic Conditions'",,"Question 3: If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Not general type 'Macroeconomic / General Economic Conditions",,,,,,,,
66926aa4a5fb84fd6decaec5,Economic-Article-Quant-Annotation-instructions3_example.html,instructions3_example,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Negative (e.g., prices skyrocketed)",,,,,,
66926aa4a5fb84fd6decaec5,14194_7,"Fed officials have estimated that they will raise their benchmark short-term rate, now pegged near zero, three times this year. Many economists envision as many as four Fed rate hikes <span>in 2022.</span> Those rate increases would likely increase borrowing costs for home and auto purchases as well as for business loans, potentially slowing the economy.",6,,,,,,,,13,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
66926aa4a5fb84fd6decaec5,46093_1,"“We view this as something that the private sector is doing and will do.” As for equity, my colleagues Dan Diamond, Lena H. Sun and Isaac Stanley-Becker reported this weekend: “The passports are expected to be free and available through applications for smartphones, which could display a scannable code similar to an airline boarding pass. Americans without smartphone access should be able to print out the passports, developers have said.” As of 2019, <span>roughly 1 in</span> 5 Americans did not have a smartphone. “We'll leverage our resources to ensure that all vaccination credential systems meet key standards, whether that's universal accessibility, affordability, availability — both digitally and on paper,” Psaki said.",6,,,,,,,,13,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
66926aa4a5fb84fd6decaec5,65080_17,"Until recently, he said, much of the weakness was confined to the Midwest, because of job losses there. Shares of Freddie Mac fell $3.18, or 5%, to $60.07 at<span> 4 p</span>.m. in New York Stock Exchange composite trading. Mike Barris contributed to this article.",,,,,,,1,,,,,,,,,5,,,,,,,,1,,,,,,,,,,,,,
66926aa4a5fb84fd6decaec5,65149_3,"That put the yuan at its lowest level against the dollar since Dec. 20. The yuan fell further shortly after trading began in mainland China, hitting its weakest value since Dec.<span> 13,</span> according to Wind Info. In recent action, one dollar bought 6.6167 yuan, putting the Chinese currency on track for a daily loss of 0.3%.",6,,,,,,,,13,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
66926aa4a5fb84fd6decaec5,73533_3,"But if it’s a war, it’s a gentle one so far. Half the central banks representing the Group <span>of 20 developed</span> and large emerging economies, whose top monetary and finance officials meet to discuss the global economy this week in Istanbul, have taken easing steps so far this year. The moves—mainly in the form of interest-rate cuts but also asset purchases—have ricocheted through foreign-exchange markets, driving the currencies of some countries down and those of others, primarily the U.S., up.",,,,2,,,,,,,,,,7,,,,,,2,,,,,,,,,,,,,,,,,
66926aa4a5fb84fd6decaec5,27000_22,"Investors reacted favorably to the earnings. Ford stock rose <span>nearly 3 percent</span> in after-hours trading Wednesday to $11.40. Through the close of regular-session trading Wednesday, it has fallen about 11 percent so far this year.",,,,,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,
66926aa4a5fb84fd6decaec5,1646_3,"Apparently, the message didn’t get through. AVDIIVKA, Ukraine — Machine-gun fire broke the stillness just <span>after 8 p</span>.m. when Capt. Denis Branitskii was midway through the evening patrol.",6,,,,,,,,13,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
66926aa4a5fb84fd6decaec5,Economic-Article-Quant-Annotation-instructions1_example.html,instructions1_example,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant' is a date or otherwise not relevant to the U.S. economy:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)",,,,,
66926aa4a5fb84fd6decaec5,65080_4,"The companies' market share plunged in recent years as investors took on more risk to get higher yields, but it now is rebounding as investors seek the security of the implied government backing. The companies' combined share of mortgage-backed-securities issues jumped <span>to 49% in</span> the second quarter from 37% a year ago, according to the trade publication Inside Mortgage Finance. Freddie Mac's net interest income skidded 17% in the quarter to $973 million, largely on higher costs for long-term borrowings.",,,,,0,,,,,,,,,,,5,,,,,,,,1,,,,,,,,,,,,,
66926aa4a5fb84fd6decaec5,Economic-Article-Quant-Annotation-confirm.html,confirm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,You have answered all practice questions correctly! You may access the instructions at any time during the study using the links at the top left the screen.:::I have identified the links to the instruction set and codebook,Please note that we reserve the right to reject your annotations if the provided instructions are not followed.:::I understand that my answers will be rejected if I do not follow the instructions,,
66926aa4a5fb84fd6decaec5,Economic-Article-Quant-Annotation-instructions_confirm.html,instructions_confirm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Good work! You answered the sample questions correctly. Please confirm that you have read all instructions, because you'll now do 2 examples on your own.:::I have read all provided instructions",
66926aa4a5fb84fd6decaec5,1646_13,With George W. Bush in Washington in 2005. With Bill Clinton in Moscow <span>in 2000.</span>,6,,,,,,,,13,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
66926aa4a5fb84fd6decaec5,93723_2,"At least half a dozen recent meetings have been devoted to the issue. One of five college graduates, <span>ages 25 to</span> 34, is living with his or her parents, according to the Pew Research Center. Meanwhile, the number of shared households—meaning an adult not enrolled in school living with another adult who isn't a spouse—rose 11.4% between 2007 and 2010, from 19.7 million households to 22 million, the Census reported last month.",6,,,,,,,,13,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
66926aa4a5fb84fd6decaec5,1646_4,"“Putin will hear very clear signals from President Biden about what Ukraine’s partners will do if Putin comes head with a military operation against our country.” Mr. Kuleba said that following the call, Mr. Biden would speak with Ukraine’s president, Volodymyr Zelensky. So far, soldiers on the front lines said they had seen little evidence of escalation beyond a largely slow-moving war of attrition that set in after both sides fought to a stalemate over territory seized by Russian-backed forces <span>in 2014.</span> Compared with the vicious fighting that preceded it, this is a holiday, several soldiers said.",6,,,,,,,,13,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
66926aa4a5fb84fd6decaec5,20676_6,"The surge in unemployment-insurance claims started six weeks ago when shutdowns to contain the virus became widespread. Americans also cut back on spending by 7.5% in March, the biggest monthly decline on record back to 1959, and saw personal income fall by 2%, the largest decrease <span>since 2013.</span> Stock markets slipped on the data’s accounting of economic damage from the virus.",,,,,,4,,,13,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
66926aa4a5fb84fd6decaec5,93723_3,"At least half a dozen recent meetings have been devoted to the issue. One of five college graduates, ages 25 to<span> 34,</span> is living with his or her parents, according to the Pew Research Center. Meanwhile, the number of shared households—meaning an adult not enrolled in school living with another adult who isn't a spouse—rose 11.4% between 2007 and 2010, from 19.7 million households to 22 million, the Census reported last month.",6,,,,,,,,13,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
66926aa4a5fb84fd6decaec5,64368_1,"On Tuesday’s broadcast of CNN’s “Don Lemon Tonight,” economist, Harvard Professor, Director of the National Economic Council under President Barack Obama, and Treasury Secretary under President Bill Clinton Larry Summers said that inflation will not “get that close to the 2% that is the Fed’s central objective.” And that while it’s not for certain, “probably early next year, the most likely thing is that you’ll see the economy will be very substantially slow and perhaps you’ll see a period of negative growth.” Summers stated, “I think what you’re most likely to see is interest rates rise to some point <span>above 3%.</span> I certainly think you’ll see inflation come down from 8%, but I don’t think it’s going to get that close to the 2% that is the Fed’s central objective.",,,,,0,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,
66926aa4a5fb84fd6decaec5,22128_0,"Tesla’s Addition to S&<span>P 500 Shows</span> Why Indexes Are So Weird Vast amounts of money are being shifted around based on strange and conflicting rules Aficionados of Tesla Inc. TSLA -1.93% were celebrating last week as the electric-car maker was accepted into the S&P 500, propelling its shares up 22% in two days. Step back from the extraordinary gains, and the fact that America’s seventh-biggest company by market value is only now to be admitted to the index of the country’s 500 most-valuable stocks is weird.",,,,,,,1,,,,,,,,,5,,,,,,,,1,,,,,,,,,,,,,
66926aa4a5fb84fd6decaec5,11356_25,"He wrote a book in 2004 accusing former secretary of state John F. Kerry of lying about his Vietnam service and then became a leading proponent of the false theory that President Barack Obama was not born in the United States, a topic over which he bonded with Trump. On Aug.<span> 28,</span> 2018, two FBI agents banged on the door of Corsi’s New Jersey home, a grand jury subpoena in hand — kicking off a byzantine turn in the investigation. After convening with Gray, a New Jersey attorney who had done legal work for his wife’s cleaning business, Corsi decided he would cooperate with prosecutors.",6,,,,,,,,13,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
66926aa4a5fb84fd6decaec5,Economic-Article-Quant-Annotation-instructions2_example.html,instructions2_example,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Market Numbers (e.g., any financial market)"
66926aa4a5fb84fd6decaec5,73198_22,"One thing that has changed is an alignment of both credit and stock markets. <span>In 2013,</span> both are rallying at the same time, offering cheap credit to buyers and the prospect of acceptable prices to sellers. Both the H.J.",,,,,,,1,,,,,,,7,,,,,,2,,,,,,,,,,,,,,,,,
66926aa4a5fb84fd6decaec5,81263_0,"Something is brewing in Europe now that has the Swiss National Bank worried. If you haven’t been paying attention in the <span>last 24 hours</span>, the currency and equity markets have been rocked by a surprise move to delink the existing currency peg between the Euro and the Swiss Franc. This move has set off what many are calling a “financial tsunami” that could leave behind a path of destruction across the continent.",,,,,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,
66926aa4a5fb84fd6decaec5,31443_3,"In his inaugural address, Mr. Biden said the “world is watching.” He promised that the United States had “come out stronger” from its recent stress test. And he pledged a restoration of American leadership in which, he said, “we’ll lead, not merely by the example of our power, but by the power of our example.” Mr. Biden is likely to make his formal debut at a meeting of Group <span>of 7 leaders</span> in June, which Britain is hosting at a seaside resort in Cornwall. He may expand that trip to include other European destinations, including Germany, where he could bid farewell to Chancellor Angela Merkel before she steps down after 16 years.",,,,,,4,,,13,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
66926aa4a5fb84fd6decaec5,55683_14,"That makes summer 2016 movies that previously would have been sure things, like the fifth “Ice Age” or the 13th “Star Trek,” all of a sudden anything but. Managing director Eric Handler of research firm MKM Partners is forecasting that box office returns will be down a <span>hefty 7% between</span> April and June compared with the same period a year ago, though he believes the back half of summer 2016 will fare somewhat better in comparison to last year. Buzz on the August DC Comics supervillain ensemble film “Suicide Squad,” for example, is better than that of last August’s superhero bomb “Fantastic Four.” If the summer isn’t dominated by a handful of blockbusters, it’s not only upscale audiences who may find more to see at the multiplex.",,,,,,4,,,13,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
66926aa4a5fb84fd6decaec5,55683_16,"There are also R-rated comedies looking to be the next “Trainwreck,” such as “Mike and Dave Need Wedding Dates” and “Bad Moms”; low-budget horror flicks “The Shallows” and “Lights Out”; and the teen-girl tear-jerker “Me Before You,” which is, not coincidentally, opening on the same weekend where “The Fault In Our Stars” succeeded two years ago. Write to Ben Fritz at ben.fritz@wsj.com -<span> 102 </span>- - - - -",6,,,,,,,,13,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
66926aa4a5fb84fd6decaec5,23424_33,Phillips 66 said earlier this year it may still be cheaper to take that oil and put it on a barge for delivery by sea to the coasts than to send it directly there by train. Write to Alison Sider at alison.sider@wsj.com and Laura Stevens at laura.stevens@wsj.com -<span> 117 </span>- - - - -,6,,,,,,,,13,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
66926aa4a5fb84fd6decaec5,81914_38,"The possible change of course comes at a time when other global central banks are shifting toward easing monetary policy, just after they had begun tentatively stepping away from postcrisis policies. Bets on lower rates helped push the S&<span>P 500 and</span> Dow industrials to fresh records last week, with indexes from the U.S. to Europe up 15% or more for the year. Some analysts warn lower rates won’t support stocks and other risky investments if the economy slows markedly, as many investors expect, or morphs into a recession.",,,,,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,
